Date,Historical_Var,Historical_ES,Age_weighted_Var,Age_weighted_ES,Volatility_Var,Volatility_ES,Bootstrap_Var,Bootstrap_ES,portfolio
2023-08-31,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6261.638105595868,-8888.184955683073,-8635.784755701563,-11411.626342769083,2969.944820368821
2023-09-01,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6174.988907250471,-8831.329939378638,-8874.718546698967,-11620.137987611166,-338.60047191246053
2023-09-05,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5889.096734060344,-8513.901866151442,-8725.100694134266,-11493.164576811625,-3431.7978306260106
2023-09-06,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6127.508287455422,-8775.051051932796,-8670.40364353204,-11441.858298047477,259.6519082336137
2023-09-07,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5838.9831420254895,-8418.182150198256,-8685.045494909138,-11456.766934025525,5224.441907683914
2023-09-08,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6405.267651702508,-9066.561603668157,-8733.66531705571,-11473.765955037099,3774.44515699804
2023-09-11,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6443.745632348475,-9264.126713357078,-8727.532901164801,-11506.848071693757,1926.7428746271482
2023-09-12,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6177.650063984572,-8831.329939378638,-8655.549763350196,-11439.767557171559,1153.981855392714
2023-09-13,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5899.964255057579,-8513.901866151442,-8643.223186532126,-11417.653193741524,-801.107359644735
2023-09-14,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5696.462962645562,-8323.796311881755,-8612.128344412013,-11387.975466968159,-871.441897601998
2023-09-15,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5555.932254897526,-8148.7961681711395,-8666.931730680022,-11436.67137602959,-5873.7792157768035
2023-09-18,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6650.145172212291,-9563.95384961964,-8665.555040701116,-11453.315865351131,-1038.7693105018873
2023-09-19,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6333.306587704617,-9005.907383613143,-8665.34264412247,-11435.578572255878,-466.7240364014262
2023-09-20,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6031.971257658455,-8667.690007587731,-8695.743097341927,-11482.128662471534,-1922.2675051503581
2023-09-21,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6132.69833430936,-8842.938109409863,-8684.227245271324,-11450.52705563091,-9388.522100877355
2023-09-22,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8570.744840907468,-11797.567502004404,-8647.45577383517,-11423.70036070525,2000.497594409908
2023-09-25,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7975.405035352715,-11144.076080882556,-8546.87559859996,-11316.108057724887,-1598.154132341671
2023-09-26,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7502.0763902147,-10862.09355605913,-8834.235640484923,-11592.814399600613,-2012.927974586907
2023-09-27,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7177.94268755546,-10085.193813193615,-8656.168420364982,-11417.735985850552,-1155.8856001837755
2023-09-28,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6800.3199319010555,-9722.83175131137,-8610.17105258297,-11388.659067709637,1070.4166511690926
2023-09-29,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6434.768548776122,-9199.925973300184,-8713.061003461678,-11500.117359261072,-3408.7067307674456
2023-10-02,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6542.293174719039,-9267.160747199037,-8773.510461756385,-11505.959780784904,-2583.899072707446
2023-10-03,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6443.710552195935,-9220.711572196913,-8763.428891697089,-11500.157932788941,-7316.295397109834
2023-10-04,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7703.700574172209,-11005.28137684378,-8662.62676740206,-11419.44258098067,4158.837660566377
2023-10-05,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7545.204492246768,-10862.09355605913,-8642.982575732814,-11418.069174141623,1992.1009265627433
2023-10-06,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7120.12847899119,-9998.665737690999,-8766.173036664792,-11546.854892005364,4649.257825698042
2023-10-09,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7202.80522932936,-9998.665737690999,-8761.92229996987,-11515.864415983691,7458.422464589836
2023-10-10,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8064.969540981579,-11291.892285536078,-8716.788709040324,-11486.00035981867,2412.5016220501416
2023-10-11,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7594.694390810789,-11005.28137684378,-8658.18922298537,-11430.750093443865,8314.671339031263
2023-10-12,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8643.561663769857,-11797.567502004404,-8746.856099233577,-11488.47343980811,-2664.268720169103
2023-10-13,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8169.418141248022,-11626.098774836846,-8720.25728117788,-11483.755972449795,1724.6334733229048
2023-10-16,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7616.535656692921,-11140.06981292038,-8738.498858755513,-11483.783798326873,686.0401377511544
2023-10-17,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7103.880595165435,-10061.850574933978,-8690.28453347126,-11453.413952033194,-4540.914495437833
2023-10-18,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7322.197028745141,-10153.36908086145,-8700.589798072351,-11495.051347035698,-4625.821975769876
2023-10-19,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7509.962081897995,-10984.79606792437,-8759.10234673775,-11543.85711949587,-7003.844048985049
2023-10-20,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8352.88760984856,-11626.098774836846,-8622.327122165549,-11409.212955143319,-708.088245785653
2023-10-23,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7742.938364076085,-11140.06981292038,-8647.499485502487,-11426.202905865666,-25.063893414491666
2023-10-24,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7211.358870443366,-10061.850574933978,-8682.967346462934,-11447.889738808019,6079.968929333721
