Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2021-07-16,-7482.007668397144,-8612.909717851451,-7485.724747952001,-8613.697992729976,-534.4947719601304
2021-07-19,-7479.179399637109,-8610.110788491684,-7482.896575625503,-8610.899083820708,2287.251352349919
2021-07-20,-7477.917115937764,-8608.917402500882,-7481.634518381016,-8609.705745853811,1769.592748927446
2021-07-21,-7478.092029416612,-8609.084556245492,-7481.80940635496,-8609.872894189639,477.30314466711565
2021-07-22,-7477.211722463253,-8608.23290659638,-7480.929193593206,-8609.021264515584,1227.2063369468917
2021-07-23,-7478.020287017295,-8609.459001299123,-7481.739130496675,-8610.247650250187,3582.0438362829605
2021-07-26,-7479.146775580513,-8610.55927632321,-7482.865532900522,-8611.3479070026,-336.7652935837866
2021-07-27,-7478.54940584982,-8609.98686138137,-7482.268245191905,-8610.775509455045,1092.3745708187723
2021-07-28,-7477.975474950808,-8609.202108757367,-7481.693621358325,-8609.990609881557,2114.5028461866327
2021-07-29,-7477.741987326215,-8608.277560384116,-7481.457862336504,-8609.065579816877,-1048.40079560592
2021-07-30,-7478.35829919541,-8608.94599707523,-7482.074345530978,-8609.73405284066,-1863.4100793510827
2021-08-02,-7478.438459794661,-8609.208156143013,-7482.155104327737,-8609.996338767192,2551.8552269989204
2021-08-03,-7485.292000139502,-8618.001042537753,-7489.015018967819,-8618.79057694812,7313.898657738495
2021-08-04,-7482.342435492942,-8615.042030925253,-7486.065423270716,-8615.831558750784,2077.389228296082
2021-08-05,-7480.749983713537,-8613.499021851083,-7484.473134000936,-8614.288584139762,1764.0502605122801
2021-08-06,-7484.832344015325,-8617.83436515659,-7488.556325814127,-8618.624103782508,-2246.435799632721
2021-08-09,-7478.9286316670805,-8611.605399583752,-7482.651544414754,-8612.394911497773,1734.355914327934
2021-08-10,-7478.893244296082,-8611.87644904307,-7482.617164248648,-8612.66617455336,3057.8257185844823
2021-08-11,-7479.657133571308,-8612.629042968983,-7483.381016398014,-8613.418760606053,-99.04265526387374
2021-08-12,-7479.915271445238,-8612.900359312895,-7483.639197587297,-8613.690086135779,-582.3045809168179
2021-08-13,-7478.483980886398,-8611.531732818588,-7482.208112994405,-8612.321503320327,1803.6848176215224
2021-08-16,-7479.351539468483,-8612.901794648538,-7483.077323217805,-8613.691915411106,3847.1452214851543
2021-08-17,-7478.486659683765,-8612.006059481198,-7482.212342016779,-8612.796158736579,248.2930938149022
2021-08-18,-7484.4960925836285,-8618.606764673468,-7488.223718326463,-8619.397276064537,-3917.512756267297
2021-08-19,-7484.899825201462,-8618.970649000237,-7488.627319969852,-8619.761132615773,454.84258675497875
